"Date","Price","Open","High","Low","Vol.","Change %"
"05/15/1980","822.53","819.63","829.34","816.05","","0.36%"
"05/14/1980","819.62","816.89","827.73","813.73","","0.33%"
"05/13/1980","816.89","805.20","820.39","803.06","","1.45%"
"05/12/1980","805.20","805.80","810.31","795.81","","-0.07%"
"05/09/1980","805.80","815.09","815.09","802.47","","-1.15%"
"05/08/1980","815.19","821.25","827.47","811.02","","-0.74%"
"05/07/1980","821.25","816.05","828.67","810.48","","0.64%"
"05/06/1980","816.04","816.30","827.66","808.28","","-0.03%"
"05/05/1980","816.30","810.92","819.20","803.58","","0.66%"
"05/02/1980","810.92","808.80","815.70","802.98","","0.26%"
"05/01/1980","808.79","817.06","820.22","803.23","","-1.01%"
"04/30/1980","817.06","811.09","818.52","801.02","","0.74%"
"04/29/1980","811.09","805.45","816.20","802.66","","0.70%"
"04/28/1980","805.46","803.58","814.69","798.72","","0.23%"
"04/25/1980","803.58","797.09","806.73","786.34","","0.81%"
"04/24/1980","797.10","789.25","804.95","785.23","","0.99%"
"04/23/1980","789.25","789.84","801.11","784.13","","-0.08%"
"04/22/1980","789.85","771.33","793.44","771.33","","4.05%"
"04/21/1980","759.13","763.41","769.62","751.37","","-0.56%"
"04/18/1980","763.40","768.86","775.94","760.31","","-0.71%"
"04/17/1980","768.86","771.25","776.38","762.13","","-0.31%"
"04/16/1980","771.25","783.36","794.88","769.80","","-1.55%"
"04/15/1980","783.36","784.91","792.41","778.84","","-0.20%"
"04/14/1980","784.90","791.55","791.81","779.52","","-0.84%"
"04/11/1980","791.55","791.47","800.84","786.52","","0.01%"
"04/10/1980","791.47","785.92","796.42","783.02","","0.71%"
"04/09/1980","785.92","775.00","790.02","772.44","","1.41%"
"04/08/1980","775.00","768.34","779.61","759.81","","0.87%"
"04/07/1980","768.34","784.13","784.39","765.44","","-2.01%"
"04/03/1980","784.13","787.80","791.98","778.23","","-0.47%"
"04/02/1980","787.80","784.47","796.42","779.95","","0.42%"
"04/01/1980","784.47","785.75","792.16","776.28","","-0.16%"
"03/31/1980","785.75","777.66","790.88","772.19","","1.04%"
"03/28/1980","777.65","759.98","784.39","756.56","","2.33%"
"03/27/1980","759.98","762.13","767.41","729.95","","-0.28%"
"03/26/1980","762.12","767.83","781.66","758.80","","-0.74%"
"03/25/1980","767.83","765.44","777.47","758.36","","0.31%"
"03/24/1980","765.44","784.98","784.98","761.69","","-2.51%"
"03/21/1980","785.15","789.08","794.70","779.52","","-0.50%"
"03/20/1980","789.08","800.94","804.61","785.92","","-1.48%"
"03/19/1980","800.94","801.63","812.13","794.97","","-0.08%"
"03/18/1980","801.62","788.66","806.66","780.97","","1.64%"
"03/17/1980","788.65","811.27","811.27","784.98","","-2.84%"
"03/14/1980","811.69","809.56","819.11","800.69","","0.26%"
"03/13/1980","809.56","819.55","825.27","806.56","","-1.22%"
"03/12/1980","819.54","826.45","829.86","808.70","","-0.84%"
"03/11/1980","826.45","818.94","831.91","817.58","","0.92%"
"03/10/1980","818.94","820.56","828.84","807.25","","-0.20%"
"03/07/1980","820.56","828.06","832.52","813.23","","-0.91%"
"03/06/1980","828.07","844.88","848.13","822.44","","-1.99%"
"03/05/1980","844.88","856.48","868.69","840.78","","-1.35%"
"03/04/1980","856.48","854.34","859.91","842.75","","0.25%"
"03/03/1980","854.35","863.14","868.27","851.38","","-1.02%"
"02/29/1980","863.14","854.44","866.55","850.84","","1.02%"
"02/28/1980","854.44","855.13","865.09","847.27","","-0.08%"
"02/27/1980","855.12","864.25","875.27","850.09","","-1.06%"
"02/26/1980","864.25","859.81","869.45","853.23","","0.52%"
"02/25/1980","859.81","868.77","868.94","854.61","","-1.03%"
"02/22/1980","868.77","868.52","877.47","855.80","","0.03%"
"02/21/1980","868.52","886.86","891.13","863.98","","-2.07%"
"02/20/1980","886.86","876.02","891.30","872.44","","1.24%"
"02/19/1980","876.02","883.95","883.95","869.38","","-1.01%"
"02/18/1980","884.98","892.92","892.92","875.09","","0.00%"
"02/15/1980","884.98","892.92","892.92","875.09","","-0.98%"
"02/14/1980","893.77","903.84","912.03","886.86","","-1.11%"
"02/13/1980","903.84","898.98","918.17","896.59","","0.54%"
"02/12/1980","898.98","889.59","901.38","880.97","","1.06%"
"02/11/1980","889.59","895.73","902.39","884.05","","-0.69%"
"02/08/1980","895.73","885.48","901.11","879.86","","1.16%"
"02/07/1980","885.49","881.83","897.27","878.23","","0.42%"
"02/06/1980","881.83","876.63","888.05","867.92","","0.59%"
"02/05/1980","876.62","875.09","880.89","868.17","","0.17%"
"02/04/1980","875.09","881.48","887.38","870.48","","-0.72%"
