"Date","Price","Open","High","Low","Vol.","Change %"
"05/15/2013","15,275.69","15,211.87","15,301.34","15,175.39","124.03M","0.40%"
"05/14/2013","15,215.25","15,092.15","15,219.55","15,089.30","124.59M","0.82%"
"05/13/2013","15,091.68","15,113.42","15,113.42","15,053.46","94.28M","-0.18%"
"05/10/2013","15,118.49","15,082.62","15,118.49","15,038.18","98.98M","0.24%"
"05/09/2013","15,082.62","15,105.12","15,144.83","15,046.87","97.81M","-0.15%"
"05/08/2013","15,105.12","15,056.20","15,106.81","15,021.87","113.51M","0.32%"
"05/07/2013","15,056.20","14,968.89","15,056.67","14,968.89","117.23M","0.58%"
"05/06/2013","14,968.89","14,973.96","14,988.87","14,941.09","116.16M","-0.03%"
"05/03/2013","14,973.96","14,831.58","15,009.59","14,831.58","119.89M","0.96%"
"05/02/2013","14,831.58","14,700.95","14,834.63","14,700.95","91.18M","0.89%"
"05/01/2013","14,700.95","14,839.80","14,839.80","14,687.05","112.62M","-0.94%"
"04/30/2013","14,839.80","14,818.75","14,839.80","14,734.47","148.25M","0.14%"
"04/29/2013","14,818.75","14,712.55","14,844.96","14,712.55","97.06M","0.72%"
"04/26/2013","14,712.55","14,700.80","14,743.49","14,684.82","128.91M","0.08%"
"04/25/2013","14,700.80","14,676.30","14,768.05","14,665.45","129.60M","0.17%"
"04/24/2013","14,676.30","14,719.46","14,747.42","14,666.54","138.02M","-0.29%"
"04/23/2013","14,719.46","14,567.17","14,721.42","14,554.29","137.32M","1.05%"
"04/22/2013","14,567.17","14,547.51","14,588.83","14,457.60","146.89M","0.14%"
"04/19/2013","14,547.51","14,537.14","14,553.73","14,444.03","207.20M","0.07%"
"04/18/2013","14,537.14","14,618.59","14,650.26","14,495.29","158.05M","-0.56%"
"04/17/2013","14,618.59","14,756.78","14,756.78","14,560.81","168.01M","-0.94%"
"04/16/2013","14,756.78","14,599.20","14,761.73","14,599.20","126.31M","1.08%"
"04/15/2013","14,599.20","14,865.06","14,865.06","14,598.58","161.68M","-1.79%"
"04/12/2013","14,865.06","14,865.14","14,865.21","14,790.57","119.57M","0.00%"
"04/11/2013","14,865.14","14,802.24","14,887.51","14,785.36","144.57M","0.42%"
"04/10/2013","14,802.24","14,673.46","14,826.66","14,673.46","120.52M","0.88%"
"04/09/2013","14,673.46","14,613.48","14,716.46","14,598.50","128.58M","0.41%"
"04/08/2013","14,613.48","14,565.25","14,613.48","14,497.80","106.68M","0.33%"
"04/05/2013","14,565.25","14,606.11","14,606.11","14,434.43","131.25M","-0.28%"
"04/04/2013","14,606.11","14,550.35","14,625.24","14,538.72","104.79M","0.38%"
"04/03/2013","14,550.35","14,662.01","14,683.13","14,525.36","127.14M","-0.76%"
"04/02/2013","14,662.01","14,572.85","14,684.49","14,572.85","98.42M","0.61%"
"04/01/2013","14,572.85","14,578.54","14,605.72","14,531.48","91.40M","-0.04%"
"03/28/2013","14,578.54","14,526.16","14,585.10","14,520.86","153.71M","0.36%"
"03/27/2013","14,526.16","14,559.65","14,559.65","14,439.55","92.68M","-0.23%"
"03/26/2013","14,559.65","14,447.75","14,561.54","14,447.75","96.03M","0.77%"
