"Date","Price","Open","High","Low","Vol.","Change %"
"05/15/2023","13,185.46","13,012.79","13,186.40","12,940.55","","1.33%"
"05/12/2023","13,012.79","13,164.36","13,197.06","13,010.35","","-1.15%"
"05/11/2023","13,164.36","13,180.67","13,272.21","13,154.48","","-0.12%"
"05/10/2023","13,180.67","13,312.00","13,312.00","13,155.15","","-0.99%"
"05/09/2023","13,312.00","13,385.98","13,522.77","13,302.68","","-0.55%"
"05/08/2023","13,385.98","13,243.20","13,439.15","13,218.90","","1.08%"
"05/05/2023","13,243.20","13,231.16","13,323.08","13,166.09","","0.09%"
"05/04/2023","13,231.16","13,195.98","13,251.34","13,092.03","","0.27%"
"04/28/2023","13,195.98","13,095.79","13,223.23","13,095.17","","0.77%"
"04/27/2023","13,095.79","12,954.73","13,133.59","12,903.08","","1.09%"
"04/26/2023","12,954.73","12,959.22","12,989.30","12,852.01","","-0.03%"
"04/25/2023","12,959.22","12,904.17","12,980.34","12,843.38","","0.43%"
"04/24/2023","12,904.17","13,056.33","13,064.81","12,869.08","","-1.17%"
"04/21/2023","13,056.33","13,225.94","13,248.95","13,047.44","","-1.28%"
"04/20/2023","13,225.94","13,338.75","13,339.55","13,180.79","","-0.85%"
"04/19/2023","13,338.75","13,438.50","13,441.48","13,317.97","","-0.74%"
"04/18/2023","13,438.50","13,368.28","13,499.72","13,341.60","","0.53%"
"04/17/2023","13,368.28","13,118.73","13,368.28","13,118.73","","1.90%"
"04/14/2023","13,118.73","13,085.45","13,197.49","13,074.52","","0.25%"
"04/13/2023","13,085.45","13,060.63","13,109.90","12,980.51","","0.19%"
"04/12/2023","13,060.63","13,137.38","13,166.78","13,048.01","","-0.58%"
"04/11/2023","13,137.38","13,214.91","13,255.89","13,109.20","","-0.59%"
"04/10/2023","13,214.91","13,217.63","13,227.31","13,094.45","","-0.02%"
"04/07/2023","13,217.63","13,164.13","13,284.52","13,119.22","","0.41%"
"04/06/2023","13,164.13","13,240.48","13,240.48","13,104.90","","-0.58%"
"04/04/2023","13,240.48","13,214.92","13,242.13","13,137.66","","0.19%"
"04/03/2023","13,214.92","13,236.52","13,256.31","13,169.28","","-0.16%"
"03/31/2023","13,236.52","13,250.37","13,357.61","13,220.97","","-0.10%"
"03/30/2023","13,250.37","13,088.73","13,255.13","13,066.98","","1.23%"
"03/29/2023","13,088.73","13,065.90","13,178.46","13,065.90","","0.17%"
"03/28/2023","13,065.90","13,041.46","13,092.80","13,018.01","","0.19%"
"03/27/2023","13,041.46","13,104.84","13,104.84","12,954.89","","-0.48%"
"03/24/2023","13,104.84","13,165.18","13,170.30","13,079.58","","-0.46%"
"03/23/2023","13,165.18","13,076.40","13,166.01","13,026.01","","0.68%"
"03/22/2023","13,076.40","13,015.70","13,159.21","13,015.70","","0.47%"
"03/21/2023","13,015.70","12,841.31","13,035.34","12,841.31","","1.36%"
"03/20/2023","12,841.31","12,894.12","12,963.67","12,825.95","","-0.41%"
"03/17/2023","12,894.12","12,920.16","13,112.69","12,854.73","","-0.20%"
"03/16/2023","12,920.16","12,998.04","13,033.40","12,879.06","","-0.60%"
"03/15/2023","12,998.04","12,995.57","13,131.07","12,989.88","","0.02%"
"03/14/2023","12,995.57","13,079.91","13,081.46","12,904.99","","-0.64%"
"03/13/2023","13,079.91","12,965.40","13,110.60","12,958.18","","0.88%"
"03/10/2023","12,965.40","13,118.81","13,118.81","12,963.96","","-1.17%"
"03/09/2023","13,118.81","13,199.16","13,234.03","13,054.56","","-0.61%"
"03/08/2023","13,199.16","13,305.08","13,305.08","13,139.01","","-0.80%"
"03/07/2023","13,305.08","13,462.30","13,543.80","13,294.86","","-1.17%"
"03/06/2023","13,462.30","13,571.20","13,571.20","13,394.94","","-0.80%"
"03/03/2023","13,571.20","13,529.41","13,619.13","13,462.79","","0.31%"
"03/02/2023","13,529.41","13,573.24","13,595.24","13,504.71","","-0.32%"
"03/01/2023","13,573.24","13,390.51","13,617.28","13,355.69","","1.36%"
"02/28/2023","13,390.51","13,339.02","13,427.60","13,253.50","","0.39%"
"02/27/2023","13,339.02","13,355.63","13,405.24","13,269.56","","-0.12%"
"02/24/2023","13,355.63","13,548.67","13,549.13","13,327.65","","-1.42%"
"02/23/2023","13,548.67","13,561.58","13,668.04","13,495.70","","-0.10%"
"02/22/2023","13,561.58","13,713.57","13,713.57","13,545.43","","-1.11%"
"02/21/2023","13,713.57","13,710.91","13,741.16","13,627.84","","0.02%"
"02/20/2023","13,710.91","13,401.76","13,719.49","13,374.24","","2.31%"
"02/17/2023","13,401.76","13,591.18","13,661.41","13,391.91","","-1.39%"
"02/16/2023","13,591.18","13,619.03","13,793.18","13,507.19","","-0.20%"
"02/15/2023","13,619.03","13,724.38","13,761.97","13,593.15","","-0.77%"
"02/14/2023","13,724.38","13,737.28","13,773.09","13,663.38","","-0.09%"
"02/13/2023","13,737.28","13,589.25","13,769.47","13,533.97","","1.09%"
"02/10/2023","13,589.25","13,673.64","13,673.64","13,552.91","","-0.62%"
"02/09/2023","13,673.64","13,505.84","13,696.25","13,472.71","","1.24%"
"02/08/2023","13,505.84","13,561.40","13,633.57","13,490.04","","-0.41%"
"02/07/2023","13,561.40","13,542.66","13,626.69","13,518.58","","0.14%"
"02/06/2023","13,542.66","13,747.93","13,747.93","13,441.96","","-1.49%"
"02/03/2023","13,747.93","13,929.28","13,929.28","13,647.87","","-1.30%"
"02/02/2023","13,929.28","13,977.33","14,021.20","13,863.59","","-0.34%"
"02/01/2023","13,977.33","13,885.97","13,977.33","13,791.37","","0.66%"
"01/31/2023","13,885.97","14,065.15","14,164.11","13,869.28","","-1.27%"
"01/30/2023","14,065.15","13,958.40","14,307.43","13,958.40","","0.76%"
"01/20/2023","13,958.40","13,906.53","14,027.34","13,906.53","","0.37%"
"01/19/2023","13,906.53","13,885.92","13,920.12","13,757.14","","0.15%"
"01/18/2023","13,885.92","13,935.75","14,025.51","13,871.40","","-0.36%"
"01/17/2023","13,935.75","14,001.55","14,008.33","13,875.37","","-0.47%"
"01/16/2023","14,001.55","13,794.93","14,143.36","13,794.47","","1.50%"
"01/13/2023","13,794.93","13,544.32","13,794.93","13,544.32","","1.85%"
"01/12/2023","13,544.32","13,531.78","13,605.11","13,498.54","","0.09%"
"01/11/2023","13,531.78","13,521.65","13,625.57","13,471.46","","0.07%"
"01/10/2023","13,521.65","13,506.95","13,581.39","13,457.56","","0.11%"
"01/09/2023","13,506.95","13,376.91","13,535.94","13,376.91","","0.97%"
"01/06/2023","13,376.91","13,331.23","13,428.47","13,297.74","","0.34%"
"01/05/2023","13,331.23","13,009.41","13,358.54","13,009.41","","2.47%"
"01/04/2023","13,009.41","12,976.97","13,059.70","12,919.42","","0.25%"
"01/03/2023","12,976.97","13,004.11","13,004.17","12,808.25","","-0.21%"
"12/30/2022","13,004.11","12,928.41","13,064.08","12,928.41","","0.59%"
"12/29/2022","12,928.41","13,016.72","13,016.72","12,847.18","","-0.68%"
"12/28/2022","13,016.72","13,027.31","13,050.51","12,912.30","","-0.08%"
"12/27/2022","13,027.31","12,869.82","13,074.44","12,869.82","","1.22%"
"12/26/2022","12,869.82","12,916.50","12,961.57","12,852.49","","-0.36%"
"12/23/2022","12,916.50","12,928.63","12,985.84","12,806.25","","-0.09%"
"12/22/2022","12,928.63","12,840.42","13,062.81","12,840.42","","0.69%"
"12/21/2022","12,840.42","12,777.33","12,887.59","12,777.33","","0.49%"
"12/20/2022","12,777.33","13,063.17","13,063.17","12,694.30","","-2.19%"
"12/19/2022","13,063.17","13,228.81","13,298.56","13,012.07","","-1.25%"
"12/16/2022","13,228.81","13,170.40","13,231.92","13,101.32","","0.44%"
"12/15/2022","13,170.40","13,184.67","13,256.98","13,068.49","","-0.11%"
"12/14/2022","13,184.67","13,104.67","13,231.37","13,030.45","","0.61%"
"12/13/2022","13,104.67","13,086.19","13,167.26","13,059.46","","0.14%"
"12/12/2022","13,086.19","13,280.30","13,280.30","13,071.49","","-1.46%"
"12/09/2022","13,280.30","13,099.59","13,300.03","13,048.80","","1.38%"
"12/08/2022","13,099.59","13,078.98","13,139.75","13,021.17","","0.16%"
"12/07/2022","13,078.98","13,087.63","13,259.28","13,037.29","","-0.07%"
"12/06/2022","13,087.63","12,954.42","13,186.70","12,873.28","","1.03%"
"12/05/2022","12,954.42","12,699.95","12,964.96","12,699.95","","2.00%"
"12/02/2022","12,699.95","12,778.19","12,791.80","12,678.78","","-0.61%"
"12/01/2022","12,778.19","12,602.06","13,014.33","12,602.06","","1.40%"
"11/30/2022","12,602.06","12,557.58","12,642.90","12,491.78","","0.35%"
"11/29/2022","12,557.58","12,093.45","12,578.03","12,093.45","","3.84%"
"11/28/2022","12,093.45","12,240.59","12,240.59","11,833.19","","-1.20%"
"11/25/2022","12,240.59","12,135.78","12,292.47","12,087.24","","0.86%"
"11/24/2022","12,135.78","12,212.22","12,325.03","12,118.41","","-0.63%"
"11/23/2022","12,212.22","12,195.31","12,293.90","12,135.78","","0.14%"
"11/22/2022","12,195.31","12,131.48","12,326.58","12,092.75","","0.53%"
"11/21/2022","12,131.48","12,269.57","12,269.57","12,000.52","","-1.13%"
"11/18/2022","12,269.57","12,296.42","12,394.56","12,247.34","","-0.22%"
"11/17/2022","12,296.42","12,418.61","12,418.61","12,188.32","","-0.98%"
"11/16/2022","12,418.61","12,490.61","12,545.15","12,396.17","","-0.58%"
"11/15/2022","12,490.61","12,294.14","12,536.91","12,202.98","","1.60%"
"11/14/2022","12,294.14","12,263.11","12,533.37","12,263.11","","0.25%"
"11/11/2022","12,263.11","11,866.62","12,380.04","11,866.62","","3.34%"
"11/10/2022","11,866.62","11,912.85","11,913.43","11,735.95","","-0.39%"
"11/09/2022","11,912.85","12,045.04","12,087.20","11,886.11","","-1.10%"
"11/08/2022","12,045.04","12,146.94","12,210.35","11,957.78","","-0.84%"
"11/07/2022","12,146.94","12,085.44","12,206.35","11,988.23","","0.51%"
"11/04/2022","12,085.44","11,657.16","12,160.16","11,641.48","","3.67%"
"11/03/2022","11,657.16","11,808.33","11,808.33","11,595.65","","-1.28%"
"11/02/2022","11,808.33","11,687.67","11,917.14","11,584.35","","1.03%"
"11/01/2022","11,687.67","11,225.29","11,691.79","11,225.29","","4.12%"
"10/31/2022","11,225.29","11,369.43","11,393.87","11,205.55","","-1.27%"
"10/28/2022","11,369.43","11,620.96","11,620.96","11,348.74","","-2.16%"
"10/27/2022","11,620.96","11,798.14","11,903.22","11,620.96","","-1.50%"
"10/26/2022","11,798.14","11,822.81","12,001.59","11,756.62","","-0.21%"
"10/25/2022","11,822.81","11,853.17","11,983.40","11,740.21","","-0.26%"
"10/24/2022","11,853.17","12,338.14","12,338.14","11,813.28","","-3.93%"
"10/21/2022","12,338.14","12,398.75","12,431.24","12,267.90","","-0.49%"
"10/20/2022","12,398.75","12,496.43","12,556.83","12,331.87","","-0.78%"
"10/19/2022","12,496.43","12,736.79","12,755.36","12,496.43","","-1.89%"
"10/18/2022","12,736.79","12,762.83","12,886.33","12,711.75","","-0.20%"
"10/17/2022","12,762.83","12,820.09","12,820.48","12,638.78","","-0.45%"
"10/14/2022","12,820.09","12,521.52","12,900.68","12,521.52","","2.38%"
"10/13/2022","12,521.52","12,705.78","12,705.78","12,505.34","","-1.45%"
"10/12/2022","12,705.78","12,631.27","12,706.90","12,354.45","","0.59%"
"10/11/2022","12,631.27","12,587.66","12,672.70","12,564.76","","0.35%"
"10/10/2022","12,587.66","12,908.11","12,928.31","12,571.27","","-2.48%"
"09/30/2022","12,908.11","12,956.29","13,046.03","12,880.27","","-0.37%"
"09/29/2022","12,956.29","12,964.48","13,109.20","12,898.57","","-0.06%"
"09/28/2022","12,964.48","13,082.45","13,086.47","12,945.99","","-0.90%"
"09/27/2022","13,082.45","12,904.90","13,097.07","12,844.21","","1.38%"
"09/26/2022","12,904.90","12,896.28","13,062.44","12,801.52","","0.07%"
"09/23/2022","12,896.28","12,880.04","12,991.00","12,826.19","","0.13%"
"09/22/2022","12,880.04","12,989.24","12,989.24","12,816.93","","-0.84%"
"09/21/2022","12,989.24","13,124.80","13,124.80","12,954.47","","-1.03%"
"09/20/2022","13,124.80","13,125.67","13,202.91","13,090.01","","-0.01%"
"09/19/2022","13,125.67","13,069.40","13,219.31","13,034.92","","0.43%"
"09/16/2022","13,069.40","13,354.66","13,354.66","13,069.40","","-2.14%"
"09/15/2022","13,354.66","13,377.43","13,484.07","13,284.04","","-0.17%"
"09/14/2022","13,377.43","13,534.16","13,534.16","13,327.25","","-1.16%"
"09/13/2022","13,534.16","13,416.87","13,583.48","13,413.24","","0.87%"
"09/09/2022","13,416.87","13,195.08","13,445.70","13,195.08","","1.68%"
"09/08/2022","13,195.08","13,231.82","13,293.45","13,189.01","","-0.28%"
"09/07/2022","13,231.82","13,275.49","13,275.49","13,170.55","","-0.33%"
"09/06/2022","13,275.49","13,225.33","13,302.60","13,174.61","","0.38%"
"09/05/2022","13,225.33","13,297.61","13,297.61","13,104.82","","-0.54%"
"09/02/2022","13,297.61","13,385.13","13,430.99","13,231.75","","-0.65%"
"09/01/2022","13,385.13","13,572.86","13,572.86","13,383.66","","-1.38%"
"08/31/2022","13,572.86","13,427.71","13,649.40","13,328.58","","1.08%"
"08/30/2022","13,427.71","13,471.13","13,492.01","13,304.30","","-0.32%"
"08/29/2022","13,471.13","13,602.31","13,602.31","13,416.71","","-0.96%"
"08/26/2022","13,602.31","13,594.83","13,671.56","13,575.87","","0.06%"
"08/25/2022","13,594.83","13,422.25","13,606.56","13,382.22","","1.29%"
"08/24/2022","13,422.25","13,592.12","13,651.22","13,414.92","","-1.25%"
"08/23/2022","13,592.12","13,692.80","13,717.92","13,529.51","","-0.74%"
"08/22/2022","13,692.80","13,610.28","13,739.02","13,544.92","","0.61%"
"08/19/2022","13,610.28","13,643.88","13,703.24","13,595.28","","-0.25%"
"08/18/2022","13,643.88","13,795.44","13,795.44","13,601.19","","-1.10%"
"08/17/2022","13,795.44","13,644.42","13,822.44","13,567.83","","1.11%"
"08/16/2022","13,644.42","13,659.01","13,754.89","13,623.74","","-0.11%"
"08/15/2022","13,659.01","13,709.38","13,799.06","13,635.56","","-0.37%"
"08/12/2022","13,709.38","13,662.83","13,730.53","13,588.65","","0.34%"
"08/11/2022","13,662.83","13,391.55","13,669.65","13,391.55","","2.03%"
"08/10/2022","13,391.55","13,567.52","13,573.43","13,325.79","","-1.30%"
"08/09/2022","13,567.52","13,561.58","13,611.34","13,507.61","","0.04%"
"08/08/2022","13,561.58","13,632.03","13,632.37","13,522.67","","-0.52%"
"08/05/2022","13,632.03","13,510.03","13,649.82","13,456.92","","0.90%"
"08/04/2022","13,510.03","13,360.06","13,515.82","13,360.06","","1.12%"
"08/03/2022","13,360.06","13,509.34","13,640.60","13,333.53","","-1.11%"
"08/02/2022","13,509.34","13,730.92","13,730.92","13,406.17","","-1.61%"
"08/01/2022","13,730.92","13,786.21","13,797.96","13,730.92","","0.09%"
"07/29/2022","13,719.25","13,907.06","13,991.77","13,679.86","","-1.35%"
"07/28/2022","13,907.06","13,926.10","14,091.77","13,900.47","","-0.14%"
"07/27/2022","13,926.10","14,070.89","14,070.89","13,906.40","","-1.03%"
"07/26/2022","14,070.89","13,992.17","14,127.57","13,992.17","","0.56%"
"07/25/2022","13,992.17","14,041.26","14,041.26","13,938.47","","-0.35%"
"07/22/2022","14,041.26","13,974.13","14,158.61","13,947.58","","0.48%"
"07/21/2022","13,974.13","14,165.75","14,165.75","13,964.02","","-1.35%"
"07/20/2022","14,165.75","14,143.57","14,252.37","14,131.78","","0.16%"
"07/19/2022","14,143.57","14,233.28","14,233.58","14,028.12","","-0.63%"
"07/18/2022","14,233.28","14,094.98","14,264.98","13,987.95","","0.98%"
"07/15/2022","14,094.98","14,309.81","14,439.11","14,094.98","","-1.50%"
"07/14/2022","14,309.81","14,361.97","14,406.65","14,188.05","","-0.36%"
"07/13/2022","14,361.97","14,330.56","14,440.22","14,262.70","","0.22%"
"07/12/2022","14,330.56","14,470.37","14,507.09","14,251.01","","-0.97%"
"07/11/2022","14,470.37","14,733.38","14,733.38","14,396.95","","-1.79%"
"07/08/2022","14,733.38","14,738.77","14,880.82","14,724.67","","-0.04%"
"07/07/2022","14,738.77","14,699.95","14,807.89","14,604.33","","0.26%"
"07/06/2022","14,699.95","14,958.67","14,958.67","14,612.56","","-1.73%"
"07/05/2022","14,958.67","14,951.51","15,113.02","14,805.92","","0.05%"
"07/04/2022","14,951.51","14,893.89","14,955.88","14,764.44","","0.39%"
"07/01/2022","14,893.89","14,973.86","15,032.47","14,825.10","","-0.53%"
