Date,Value
2000-05-16,"10,934.57"
2000-05-17,"10,769.74"
2000-05-18,"10,777.28"
2000-05-19,"10,626.86"
2000-05-22,"10,542.55"
2000-05-23,"10,422.28"
2000-05-24,"10,535.35"
2000-05-25,"10,323.92"
2000-05-26,"10,299.24"
2000-05-30,"10,527.14"
2000-05-31,"10,522.34"
2000-06-01,"10,652.20"
2000-06-02,"10,794.76"
2000-06-05,"10,815.31"
2000-06-06,"10,735.58"
2000-06-07,"10,812.87"
2000-06-08,"10,668.73"
2000-06-09,"10,614.07"
2000-06-12,"10,564.21"
2000-06-13,"10,621.85"
2000-06-14,"10,687.96"
2000-06-15,"10,714.83"
2000-06-16,"10,449.31"
2000-06-19,"10,557.85"
2000-06-20,"10,435.17"
2000-06-21,"10,497.75"
2000-06-22,"10,376.12"
2000-06-23,"10,404.76"
2000-06-26,"10,543.00"
2000-06-27,"10,504.47"
2000-06-28,"10,527.80"
2000-06-29,"10,398.04"
2000-06-30,"10,447.90"
2000-07-03,"10,560.68"
2000-07-05,"10,483.60"
2000-07-06,"10,481.48"
2000-07-07,"10,635.99"
2000-07-10,"10,646.59"
2000-07-11,"10,727.19"
2000-07-12,"10,783.42"
2000-07-13,"10,788.72"
2000-07-14,"10,812.75"
2000-07-17,"10,804.27"
2000-07-18,"10,739.92"
2000-07-19,"10,696.08"
2000-07-20,"10,843.87"
2000-07-21,"10,733.56"
2000-07-24,"10,685.12"
2000-07-25,"10,699.97"
2000-07-26,"10,516.48"
2000-07-27,"10,586.13"
2000-07-28,"10,511.17"
2000-07-31,"10,521.98"
2000-08-01,"10,606.95"
2000-08-02,"10,687.53"
2000-08-03,"10,706.58"
2000-08-04,"10,767.75"
2000-08-07,"10,867.01"
2000-08-08,"10,976.89"
2000-08-09,"10,905.83"
2000-08-10,"10,908.76"
2000-08-11,"11,027.80"
2000-08-14,"11,176.14"
2000-08-15,"11,067.00"
2000-08-16,"11,008.39"
2000-08-17,"11,055.64"
2000-08-18,"11,046.48"
2000-08-21,"11,079.81"
2000-08-22,"11,139.15"
2000-08-23,"11,144.65"
2000-08-24,"11,182.74"
2000-08-25,"11,192.63"
2000-08-28,"11,252.84"
2000-08-29,"11,215.10"
2000-08-30,"11,103.01"
2000-08-31,"11,215.10"
2000-09-01,"11,238.78"
2000-09-05,"11,260.61"
2000-09-06,"11,310.64"
2000-09-07,"11,259.87"
2000-09-08,"11,220.65"
2000-09-11,"11,195.49"
2000-09-12,"11,233.23"
2000-09-13,"11,182.18"
2000-09-14,"11,087.47"
2000-09-15,"10,927.00"
2000-09-18,"10,808.52"
2000-09-19,"10,789.29"
2000-09-20,"10,687.92"
2000-09-21,"10,765.52"
2000-09-22,"10,847.37"
2000-09-25,"10,808.15"
2000-09-26,"10,631.32"
2000-09-27,"10,628.36"
2000-09-28,"10,824.06"
2000-09-29,"10,650.92"
2000-10-02,"10,700.13"
2000-10-03,"10,719.74"
2000-10-04,"10,784.48"
2000-10-05,"10,724.92"
2000-10-06,"10,596.54"
2000-10-09,"10,568.43"
2000-10-10,"10,524.40"
2000-10-11,"10,413.79"
2000-10-12,"10,034.58"
2000-10-13,"10,192.18"
2000-10-16,"10,238.80"
2000-10-17,"10,089.71"
2000-10-18,"9,975.02"
2000-10-19,"10,142.98"
2000-10-20,"10,226.59"
2000-10-23,"10,271.72"
2000-10-24,"10,393.07"
2000-10-25,"10,326.48"
2000-10-26,"10,380.12"
2000-10-27,"10,590.62"
2000-10-30,"10,835.77"
2000-10-31,"10,971.14"
2000-11-01,"10,899.47"
2000-11-02,"10,880.51"
2000-11-03,"10,817.95"
2000-11-06,"10,977.21"
2000-11-07,"10,952.18"
2000-11-08,"10,907.06"
2000-11-09,"10,834.25"
2000-11-10,"10,602.95"
2000-11-13,"10,517.25"
2000-11-14,"10,681.06"
2000-11-15,"10,707.60"
2000-11-16,"10,656.03"
2000-11-17,"10,629.87"
2000-11-20,"10,462.65"
2000-11-21,"10,494.50"
2000-11-22,"10,399.32"
2000-11-24,"10,470.23"
2000-11-27,"10,546.07"
2000-11-28,"10,507.58"
2000-11-29,"10,629.11"
2000-11-30,"10,414.49"
2000-12-01,"10,373.54"
2000-12-04,"10,560.10"
2000-12-05,"10,898.72"
2000-12-06,"10,664.38"
2000-12-07,"10,617.36"
2000-12-08,"10,712.91"
2000-12-11,"10,725.80"
2000-12-12,"10,768.27"
2000-12-13,"10,794.44"
2000-12-14,"10,674.99"
2000-12-15,"10,434.96"
2000-12-18,"10,645.42"
2000-12-19,"10,584.37"
2000-12-20,"10,318.93"
2000-12-21,"10,487.29"
2000-12-22,"10,635.56"
2000-12-26,"10,692.44"
2000-12-27,"10,803.16"
2000-12-28,"10,868.76"
2000-12-29,"10,786.85"
2001-01-02,"10,646.15"
2001-01-03,"10,945.75"
2001-01-04,"10,912.41"
2001-01-05,"10,662.01"
2001-01-08,"10,621.35"
2001-01-09,"10,572.55"
2001-01-10,"10,604.27"
2001-01-11,"10,609.55"
2001-01-12,"10,525.38"
2001-01-16,"10,652.66"
2001-01-17,"10,584.34"
2001-01-18,"10,678.28"
2001-01-19,"10,587.59"
2001-01-22,"10,578.24"
2001-01-23,"10,649.81"
2001-01-24,"10,646.97"
2001-01-25,"10,729.52"
2001-01-26,"10,659.98"
2001-01-29,"10,702.19"
2001-01-30,"10,881.20"
2001-01-31,"10,887.36"
2001-02-01,"10,983.62"
2001-02-02,"10,864.10"
2001-02-05,"10,965.85"
2001-02-06,"10,957.42"
2001-02-07,"10,946.72"
2001-02-08,"10,880.55"
2001-02-09,"10,781.45"
2001-02-12,"10,946.77"
2001-02-13,"10,903.32"
2001-02-14,"10,795.41"
2001-02-15,"10,891.02"
2001-02-16,"10,799.82"
2001-02-20,"10,730.88"
2001-02-21,"10,526.58"
2001-02-22,"10,526.81"
2001-02-23,"10,441.90"
2001-02-26,"10,642.53"
2001-02-27,"10,636.88"
2001-02-28,"10,495.28"
2001-03-01,"10,450.14"
2001-03-02,"10,466.31"
2001-03-05,"10,562.30"
2001-03-06,"10,591.22"
2001-03-07,"10,729.60"
2001-03-08,"10,858.25"
2001-03-09,"10,644.62"
2001-03-12,"10,208.25"
2001-03-13,"10,290.80"
2001-03-14,"9,973.46"
2001-03-15,"10,031.28"
2001-03-16,"9,823.41"
2001-03-19,"9,959.11"
2001-03-20,"9,720.76"
2001-03-21,"9,487.00"
2001-03-22,"9,389.48"
2001-03-23,"9,504.78"
2001-03-26,"9,687.53"
2001-03-27,"9,947.54"
2001-03-28,"9,785.35"
2001-03-29,"9,799.06"
2001-03-30,"9,878.78"
2001-04-02,"9,777.93"
2001-04-03,"9,485.71"
2001-04-04,"9,515.42"
2001-04-05,"9,918.05"
2001-04-06,"9,791.09"
2001-04-09,"9,845.15"
2001-04-10,"10,102.74"
2001-04-11,"10,013.47"
2001-04-12,"10,126.94"
2001-04-16,"10,158.56"
2001-04-17,"10,216.73"
2001-04-18,"10,615.83"
2001-04-19,"10,693.71"
2001-04-20,"10,579.85"
2001-04-23,"10,532.23"
2001-04-24,"10,454.34"
2001-04-25,"10,625.20"
2001-04-26,"10,692.35"
2001-04-27,"10,810.05"
2001-04-30,"10,734.97"
2001-05-01,"10,898.34"
2001-05-02,"10,876.68"
2001-05-03,"10,796.65"
2001-05-04,"10,951.24"
2001-05-07,"10,935.17"
2001-05-08,"10,883.51"
2001-05-09,"10,866.98"
2001-05-10,"10,910.44"
2001-05-11,"10,821.31"
2001-05-14,"10,877.33"
2001-05-15,"10,872.97"
2001-05-16,"11,215.92"
2001-05-17,"11,248.58"
2001-05-18,"11,301.74"
2001-05-21,"11,337.92"
2001-05-22,"11,257.24"
2001-05-23,"11,105.51"
2001-05-24,"11,122.42"
2001-05-25,"11,005.37"
2001-05-29,"11,039.14"
2001-05-30,"10,872.64"
2001-05-31,"10,911.94"
2001-06-01,"10,990.41"
2001-06-04,"11,061.52"
2001-06-05,"11,175.84"
2001-06-06,"11,070.24"
2001-06-07,"11,090.74"
2001-06-08,"10,977.00"
2001-06-11,"10,922.09"
2001-06-12,"10,948.38"
2001-06-13,"10,871.62"
2001-06-14,"10,690.13"
2001-06-15,"10,623.64"
2001-06-18,"10,645.38"
2001-06-19,"10,596.67"
2001-06-20,"10,647.33"
2001-06-21,"10,715.43"
2001-06-22,"10,604.59"
2001-06-25,"10,504.22"
2001-06-26,"10,472.48"
2001-06-27,"10,434.84"
2001-06-28,"10,566.21"
2001-06-29,"10,502.40"
2001-07-02,"10,593.72"
2001-07-03,"10,571.11"
2001-07-05,"10,479.86"
2001-07-06,"10,252.68"
2001-07-09,"10,299.40"
2001-07-10,"10,175.64"
2001-07-11,"10,241.02"
2001-07-12,"10,478.99"
2001-07-13,"10,539.06"
2001-07-16,"10,472.12"
