Date,Value
2000-05-15,276.40
2000-05-16,276.20
2000-05-17,273.80
2000-05-18,273.70
2000-05-19,274.60
2000-05-22,276.20
2000-05-23,274.70
2000-05-24,273.80
2000-05-25,270.70
2000-05-26,272.20
2000-05-30,275.50
2000-05-31,274.80
2000-06-01,275.40
2000-06-02,284.20
2000-06-05,288.20
2000-06-06,291.80
2000-06-07,290.00
2000-06-08,286.80
2000-06-09,286.40
2000-06-12,289.10
2000-06-13,288.10
2000-06-14,294.20
2000-06-15,292.10
2000-06-16,291.20
2000-06-19,288.00
2000-06-20,288.10
2000-06-21,288.10
2000-06-22,287.20
2000-06-23,284.80
2000-06-26,285.50
2000-06-27,287.50
2000-06-28,294.30
2000-06-29,290.70
2000-06-30,291.50
2000-07-05,285.30
2000-07-06,284.60
2000-07-07,284.60
2000-07-10,284.90
2000-07-11,283.30
2000-07-12,281.40
2000-07-13,280.90
2000-07-14,281.90
2000-07-17,284.20
2000-07-18,283.10
2000-07-19,279.60
2000-07-20,280.40
2000-07-21,280.60
2000-07-24,279.30
2000-07-25,279.30
2000-07-26,279.70
2000-07-27,278.60
2000-07-28,284.20
2000-07-31,283.20
2000-08-01,283.20
2000-08-02,282.80
2000-08-03,279.50
2000-08-04,278.60
2000-08-07,279.10
2000-08-08,278.70
2000-08-09,277.30
2000-08-10,277.60
2000-08-11,280.30
2000-08-14,279.60
2000-08-15,279.60
2000-08-16,282.30
2000-08-17,282.60
2000-08-18,281.70
2000-08-21,280.00
2000-08-22,278.30
2000-08-23,275.70
2000-08-24,277.50
2000-08-25,278.60
2000-08-28,278.50
2000-08-29,277.50
2000-08-30,278.20
2000-08-31,282.10
2000-09-01,280.90
2000-09-05,279.70
2000-09-06,277.90
2000-09-07,277.70
2000-09-08,276.80
2000-09-11,276.80
2000-09-12,276.60
2000-09-13,276.50
2000-09-14,276.00
2000-09-15,275.80
2000-09-18,274.90
2000-09-19,275.40
2000-09-20,272.50
2000-09-21,273.50
2000-09-22,275.10
2000-09-25,277.30
2000-09-26,277.30
2000-09-27,281.60
2000-09-28,278.90
2000-09-29,276.90
2000-10-02,276.30
2000-10-03,274.80
2000-10-04,273.20
2000-10-05,273.40
2000-10-06,272.10
2000-10-09,272.90
2000-10-10,275.10
2000-10-11,273.00
2000-10-12,278.80
2000-10-13,274.80
2000-10-16,273.90
2000-10-17,273.40
2000-10-18,272.60
2000-10-19,272.30
2000-10-20,273.30
2000-10-23,272.00
2000-10-24,272.10
2000-10-25,267.90
2000-10-26,266.60
2000-10-27,265.90
2000-10-30,265.80
2000-10-31,266.40
2000-11-01,265.40
2000-11-02,265.90
2000-11-03,266.10
2000-11-06,266.00
2000-11-07,265.40
2000-11-08,266.10
2000-11-09,266.90
2000-11-10,265.50
2000-11-13,265.30
2000-11-14,265.40
2000-11-15,265.60
2000-11-16,266.30
2000-11-17,266.20
2000-11-20,266.80
2000-11-21,266.10
2000-11-22,266.70
2000-11-27,270.30
2000-11-28,269.80
2000-11-29,269.60
2000-11-30,273.30
2000-12-01,271.90
2000-12-04,273.80
2000-12-05,273.30
2000-12-06,277.30
2000-12-07,276.10
2000-12-08,275.10
2000-12-11,273.10
2000-12-12,273.20
2000-12-13,271.20
2000-12-14,271.50
2000-12-15,272.90
2000-12-18,272.00
2000-12-19,272.00
2000-12-20,274.70
2000-12-21,275.70
2000-12-22,275.50
2000-12-26,275.90
2000-12-27,276.90
2000-12-28,273.70
2000-12-29,273.60
2001-01-02,270.00
2001-01-03,269.30
