"Date","Price","Open","High","Low","Vol.","Change %"
"05/16/2010","954.88","954.38","954.88","952.75","","0.24%"
"05/14/2010","952.63","965.25","965.38","951.38","","-1.22%"
"05/13/2010","964.38","964.38","969.38","959.88","","-0.01%"
"05/12/2010","964.50","966.38","975.63","959.63","","-0.06%"
"05/11/2010","965.13","961.75","968.88","953.75","","0.34%"
"05/10/2010","961.88","961.13","968.88","960.13","","0.27%"
"05/09/2010","959.25","965.38","966.00","959.25","","-0.20%"
"05/07/2010","961.13","952.38","964.38","948.63","","0.93%"
"05/06/2010","952.25","978.50","982.25","948.63","","-2.70%"
"05/05/2010","978.63","987.50","992.63","976.25","","-0.89%"
"05/04/2010","987.38","985.75","990.38","974.13","","0.18%"
"05/03/2010","985.63","994.13","999.88","984.13","","-1.41%"
"04/30/2010","999.75","997.88","1,002.13","992.38","","0.18%"
"04/29/2010","998.00","994.25","1,006.13","993.63","","0.34%"
"04/28/2010","994.63","991.13","1,001.88","988.13","","0.34%"
"04/27/2010","991.25","1,007.50","1,011.38","988.63","","-1.60%"
"04/26/2010","1,007.38","1,014.88","1,019.88","1,006.38","","-0.76%"
"04/25/2010","1,015.13","1,005.13","1,015.13","1,005.13","","0.63%"
"04/23/2010","1,008.75","1,013.00","1,017.00","1,006.88","","-0.42%"
"04/22/2010","1,013.00","1,006.00","1,015.63","1,002.00","","0.71%"
"04/21/2010","1,005.88","996.75","1,015.38","993.38","","0.90%"
"04/20/2010","996.88","991.75","997.63","988.25","","0.53%"
"04/19/2010","991.63","994.38","994.63","982.13","","-0.29%"
"04/18/2010","994.50","991.75","994.75","991.13","","1.38%"
"04/16/2010","981.00","984.88","989.63","979.13","","-0.43%"
"04/15/2010","985.25","969.38","985.25","964.38","","1.80%"
"04/14/2010","967.88","974.38","975.88","964.88","","-0.05%"
"04/13/2010","968.38","956.00","972.13","955.00","","0.89%"
"04/12/2010","959.88","953.13","965.13","952.88","","0.73%"
"04/09/2010","952.88","954.13","963.75","947.38","","0.63%"
"04/08/2010","946.88","948.13","951.75","945.38","","-0.58%"
"04/07/2010","952.38","943.88","956.88","939.63","","0.82%"
"04/06/2010","944.63","936.38","944.63","933.63","","1.10%"
"04/05/2010","934.38","943.88","944.38","932.88","","-0.77%"
"04/01/2010","941.63","940.38","945.13","932.63","","0.13%"
"03/31/2010","940.38","973.63","973.63","930.88","","-3.46%"
"03/30/2010","974.13","969.13","974.13","960.38","","0.52%"
"03/29/2010","969.13","953.63","977.38","953.63","","1.52%"
"03/26/2010","954.63","942.13","954.63","941.88","","1.33%"
"03/25/2010","942.13","958.63","966.38","942.13","","-1.80%"
"03/24/2010","959.38","959.50","962.38","953.38","","-0.72%"
"03/23/2010","966.38","970.88","976.38","964.88","","-0.26%"
"03/22/2010","968.88","961.25","974.88","956.63","","0.79%"
"03/19/2010","961.25","960.13","961.25","952.38","","0.20%"
"03/18/2010","959.38","950.25","962.38","948.88","","0.05%"
"03/17/2010","958.88","945.63","962.13","942.13","","1.51%"
"03/16/2010","944.63","937.25","947.88","935.63","","1.42%"
"03/15/2010","931.38","924.88","933.00","922.13","","0.73%"
"03/12/2010","924.63","936.38","937.13","923.13","","-0.67%"
"03/11/2010","930.88","951.50","951.50","929.13","","-2.95%"
"03/10/2010","959.13","947.63","964.13","941.88","","1.27%"
"03/09/2010","947.13","949.88","949.88","935.38","","-0.29%"
"03/08/2010","949.88","943.88","951.38","943.88","","0.77%"
"03/05/2010","942.63","943.63","948.88","938.38","","0.03%"
"03/04/2010","942.38","961.63","962.88","937.63","","-2.32%"
"03/03/2010","964.75","963.25","971.38","962.25","","0.06%"
"03/02/2010","964.13","962.38","968.88","957.88","","0.04%"
"03/01/2010","963.75","966.63","967.63","953.88","","0.12%"
"02/26/2010","962.63","946.88","963.88","946.88","","1.57%"
"02/25/2010","947.75","962.38","962.38","942.63","","-1.52%"
"02/24/2010","962.38","959.88","969.38","952.13","","0.18%"
"02/23/2010","960.63","968.38","984.88","959.13","","-0.80%"
"02/22/2010","968.38","954.50","969.88","953.63","","2.43%"
"02/19/2010","945.38","941.38","948.38","937.13","","0.05%"
"02/18/2010","944.88","956.25","957.88","942.13","","-0.81%"
"02/17/2010","952.63","958.88","961.13","948.13","","-1.17%"
"02/16/2010","963.88","958.38","965.88","958.13","","1.90%"
"02/12/2010","945.88","931.63","946.38","926.13","","0.29%"
"02/11/2010","943.13","945.63","946.88","936.13","","0.53%"
"02/10/2010","938.13","924.75","939.50","919.75","","1.49%"
"02/09/2010","924.38","929.25","942.50","920.13","","-0.55%"
"02/08/2010","929.50","927.00","939.63","925.88","","1.40%"
"02/05/2010","916.63","914.88","921.13","909.13","","1.17%"
"02/04/2010","906.00","903.88","911.88","900.25","","-0.38%"
"02/03/2010","909.50","924.38","924.38","908.13","","-1.85%"
"02/02/2010","926.63","917.88","929.88","916.88","","1.70%"
"02/01/2010","911.13","915.63","924.38","909.63","","-0.48%"
"01/31/2010","915.50","915.50","915.50","915.50","","0.03%"
"01/29/2010","915.25","933.13","935.13","913.88","","-1.84%"
"01/28/2010","932.38","931.13","935.88","921.13","","0.13%"
"01/27/2010","931.13","948.38","948.38","928.75","","-1.82%"
"01/26/2010","948.38","941.25","949.13","932.63","","0.80%"
"01/25/2010","940.88","950.25","953.13","935.63","","-0.95%"
"01/22/2010","949.88","953.00","955.75","947.13","","-0.31%"
"01/21/2010","952.88","946.88","959.38","946.88","","1.09%"
"01/20/2010","942.63","964.25","964.25","940.88","","-2.18%"
"01/19/2010","963.63","973.38","974.50","962.88","","-1.00%"
"01/18/2010","973.38","973.38","973.38","973.38","","-0.05%"
"01/15/2010","973.88","981.88","985.88","971.88","","-0.81%"
"01/14/2010","981.88","993.13","993.38","975.38","","-1.13%"
"01/13/2010","993.13","977.88","993.13","972.25","","1.56%"
"01/12/2010","977.88","1,009.63","1,009.63","969.38","","-3.17%"
"01/11/2010","1,009.88","1,019.13","1,024.63","1,005.88","","-0.93%"
"01/08/2010","1,019.38","1,025.75","1,025.75","1,013.38","","-0.66%"
"01/07/2010","1,026.13","1,057.75","1,057.75","1,024.63","","-3.02%"
"01/06/2010","1,058.13","1,059.88","1,061.63","1,051.13","","-0.17%"
"01/05/2010","1,059.88","1,057.88","1,064.38","1,050.63","","0.17%"
"01/04/2010","1,058.13","1,048.63","1,074.63","1,048.63","","0.91%"
"01/01/2010","1,048.63","1,048.63","1,048.63","1,048.63","","-0.06%"
"12/31/2009","1,049.25","1,043.88","1,061.38","1,043.88","","0.53%"
"12/30/2009","1,043.75","1,045.13","1,052.13","1,035.38","","-0.13%"
"12/29/2009","1,045.13","1,040.38","1,049.13","1,033.38","","0.46%"
"12/28/2009","1,040.38","1,009.00","1,041.63","1,009.00","","3.11%"
"12/25/2009","1,009.00","1,009.00","1,009.00","1,009.00","","-0.01%"
"12/24/2009","1,009.13","1,007.50","1,016.38","1,005.50","","0.17%"
"12/23/2009","1,007.38","997.38","1,009.13","997.38","","0.99%"
"12/22/2009","997.50","1,008.13","1,014.25","992.38","","-1.03%"
"12/21/2009","1,007.88","1,019.38","1,027.63","1,007.38","","-1.13%"
"12/20/2009","1,019.38","1,019.38","1,019.38","1,019.38","","0.01%"
"12/18/2009","1,019.25","1,028.75","1,033.38","1,016.50","","-0.92%"
"12/17/2009","1,028.75","1,060.25","1,060.25","1,016.50","","-2.98%"
"12/16/2009","1,060.38","1,054.88","1,069.63","1,051.63","","0.55%"
"12/15/2009","1,054.63","1,057.88","1,068.38","1,051.38","","-0.31%"
"12/14/2009","1,057.88","1,034.25","1,058.88","1,031.63","","2.28%"
"12/13/2009","1,034.25","1,034.25","1,034.25","1,034.25","","0.01%"
"12/11/2009","1,034.13","1,030.88","1,041.25","1,020.13","","0.44%"
"12/10/2009","1,029.63","1,029.50","1,032.13","1,019.63","","0.17%"
"12/09/2009","1,027.88","1,043.88","1,051.25","1,021.63","","-1.51%"
"12/08/2009","1,043.63","1,054.50","1,056.25","1,042.63","","-1.07%"
"12/07/2009","1,054.88","1,048.38","1,060.88","1,047.38","","0.92%"
"12/06/2009","1,045.25","1,045.25","1,045.25","1,045.25","","0.00%"
"12/04/2009","1,045.25","1,047.63","1,051.00","1,031.13","","-0.30%"
"12/03/2009","1,048.38","1,038.13","1,050.63","1,033.38","","1.40%"
"12/02/2009","1,033.88","1,058.13","1,061.63","1,032.50","","-2.29%"
"12/01/2009","1,058.13","1,058.13","1,077.88","1,057.13","","0.02%"
"11/30/2009","1,057.88","1,057.13","1,069.13","1,050.63","","0.42%"
"11/29/2009","1,053.50","1,053.50","1,053.50","1,053.50","","0.02%"
"11/27/2009","1,053.25","1,048.00","1,056.63","1,035.88","","0.50%"
"11/25/2009","1,048.00","1,053.25","1,055.38","1,034.13","","0.13%"
"11/24/2009","1,046.63","1,038.63","1,046.63","1,033.38","","0.77%"
"11/23/2009","1,038.63","1,045.13","1,066.13","1,038.63","","-0.62%"
"11/22/2009","1,045.13","1,045.13","1,045.13","1,045.13","","0.02%"
"11/20/2009","1,044.88","1,045.75","1,048.88","1,031.63","","-0.08%"
"11/19/2009","1,045.75","1,028.88","1,048.63","1,024.13","","1.62%"
"11/18/2009","1,029.13","1,030.75","1,048.88","1,024.50","","-0.19%"
"11/17/2009","1,031.13","1,005.38","1,031.13","1,003.13","","2.23%"
"11/16/2009","1,008.63","985.13","1,011.63","985.13","","2.39%"
"11/15/2009","985.13","985.13","985.13","985.13","","0.00%"
"11/13/2009","985.13","990.50","1,008.88","983.63","","-0.56%"
"11/12/2009","990.63","973.38","996.25","961.88","","1.82%"
"11/11/2009","972.88","965.88","986.38","964.63","","0.75%"
"11/10/2009","965.63","963.13","973.63","952.75","","-0.49%"
"11/09/2009","970.38","956.75","974.63","956.75","","1.42%"
"11/08/2009","956.75","956.75","956.75","956.75","","0.01%"
"11/06/2009","956.63","972.38","972.38","955.38","","-1.62%"
"11/05/2009","972.38","998.63","998.63","971.63","","-2.60%"
"11/04/2009","998.38","1,011.88","1,022.38","995.50","","0.28%"
"11/02/2009","995.63","984.75","1,006.00","971.38","","2.04%"
"11/01/2009","975.75","975.75","975.75","975.75","","-0.04%"
"10/30/2009","976.13","987.00","987.00","969.25","","-1.16%"
"10/29/2009","987.63","971.88","991.13","971.88","","1.69%"
"10/28/2009","971.25","962.25","975.38","962.25","","-0.24%"
"10/27/2009","973.63","989.75","993.75","972.75","","-1.57%"
"10/26/2009","989.13","1,010.63","1,015.38","983.00","","-2.13%"
"10/25/2009","1,010.63","1,010.63","1,010.63","1,010.63","","0.05%"
"10/23/2009","1,010.13","1,009.38","1,029.13","1,002.75","","0.09%"
"10/22/2009","1,009.25","1,007.25","1,010.88","998.13","","0.21%"
"10/21/2009","1,007.13","986.63","1,016.00","986.63","","2.08%"
"10/20/2009","986.63","1,001.50","1,001.50","983.50","","-1.49%"
"10/19/2009","1,001.50","978.38","1,001.50","978.38","","2.36%"
"10/18/2009","978.38","978.38","978.38","978.38","","-0.04%"
"10/16/2009","978.75","982.25","988.00","975.00","","-0.36%"
"10/15/2009","982.25","994.38","994.38","972.88","","-1.24%"
"10/14/2009","994.63","992.25","1,008.63","988.38","","0.25%"
"10/13/2009","992.13","999.50","1,005.25","989.38","","8.07%"
"10/01/2009","918.00","924.75","932.75","914.75","76.08K","-0.97%"
"09/30/2009","927.00","916.75","931.25","906.50","81.55K","1.09%"
"09/29/2009","917.00","918.50","928.75","910.50","64.29K","-0.27%"
"09/28/2009","919.50","928.75","937.25","912.75","50.39K","-0.70%"
"09/25/2009","926.00","919.00","931.75","916.00","51.46K","0.71%"
"09/24/2009","919.50","915.50","929.75","904.50","67.08K","-0.11%"
"09/23/2009","920.50","921.50","926.00","902.00","63.07K","-0.16%"
"09/22/2009","922.00","912.50","927.25","903.25","76.72K","0.93%"
"09/21/2009","913.50","938.50","939.75","909.25","71.90K","-2.92%"
"09/18/2009","941.00","950.50","958.00","936.00","58.33K","-1.26%"
"09/17/2009","953.00","950.00","962.75","937.25","77.12K","0.26%"
