Date,Value
1979-12-25,839.16
1979-12-26,838.14
1979-12-27,840.1
1979-12-28,838.91
1979-12-31,838.74
1980-01-02,824.57
1980-01-03,820.31
1980-01-04,828.84
1980-01-07,832.0
1980-01-08,851.71
1980-01-09,850.09
1980-01-10,858.96
1980-01-11,858.53
1980-01-14,863.57
1980-01-15,868.6
1980-01-16,865.19
1980-01-17,863.57
1980-01-18,867.15
1980-01-21,872.78
1980-01-22,866.21
1980-01-23,877.56
1980-01-24,879.95
1980-01-25,876.11
1980-01-28,878.5
1980-01-29,874.4
1980-01-30,881.91
1980-01-31,875.85
1980-02-01,881.48
1980-02-04,875.09
1980-02-05,876.62
1980-02-06,881.83
1980-02-07,885.49
1980-02-08,895.73
1980-02-11,889.59
1980-02-12,898.98
1980-02-13,903.84
1980-02-14,893.77
1980-02-15,884.98
1980-02-18,884.98
1980-02-19,876.02
1980-02-20,886.86
1980-02-21,868.52
1980-02-22,868.77
1980-02-25,859.81
1980-02-26,864.25
1980-02-27,855.12
1980-02-28,854.44
1980-02-29,863.14
1980-03-03,854.35
1980-03-04,856.48
1980-03-05,844.88
1980-03-06,828.07
1980-03-07,820.56
1980-03-10,818.94
1980-03-11,826.45
1980-03-12,819.54
1980-03-13,809.56
1980-03-14,811.69
1980-03-17,788.65
1980-03-18,801.62
1980-03-19,800.94
1980-03-20,789.08
1980-03-21,785.15
1980-03-24,765.44
1980-03-25,767.83
1980-03-26,762.12
1980-03-27,759.98
1980-03-28,777.65
1980-03-31,785.75
1980-04-01,784.47
1980-04-02,787.8
1980-04-03,784.13
1980-04-07,768.34
1980-04-08,775.0
1980-04-09,785.92
1980-04-10,791.47
1980-04-11,791.55
1980-04-14,784.9
1980-04-15,783.36
1980-04-16,771.25
1980-04-17,768.86
1980-04-18,763.4
1980-04-21,759.13
1980-04-22,789.85
1980-04-23,789.25
1980-04-24,797.1
1980-04-25,803.58
1980-04-28,805.46
1980-04-29,811.09
1980-04-30,817.06
1980-05-01,808.79
1980-05-02,810.92
1980-05-05,816.3
1980-05-06,816.04
1980-05-07,821.25
1980-05-08,815.19
1980-05-09,805.8
1980-05-12,805.2
1980-05-13,816.89
1980-05-14,819.62
1980-05-15,822.53
1980-05-16,826.88
1980-05-19,830.89
1980-05-20,832.51
1980-05-21,831.06
1980-05-22,842.92
1980-05-23,854.10
1980-05-27,857.76
1980-05-28,860.32
1980-05-29,846.25
1980-05-30,850.85
1980-06-02,847.35
1980-06-03,843.77
1980-06-04,858.02
1980-06-05,858.70
1980-06-06,861.52
1980-06-09,860.67
1980-06-10,863.99
1980-06-11,872.70
1980-06-12,872.61
1980-06-13,876.37
1980-06-16,877.73
1980-06-17,879.27
1980-06-18,881.91
1980-06-19,870.90
1980-06-20,869.71
1980-06-23,873.81
1980-06-24,877.30
1980-06-25,887.54
1980-06-26,883.45
1980-06-27,881.83
1980-06-30,867.92
1980-07-01,872.27
1980-07-02,876.02
1980-07-03,888.91
1980-07-07,898.21
1980-07-08,897.35
1980-07-09,897.27
1980-07-10,885.92
1980-07-11,887.13
1980-07-14,905.55
1980-07-15,901.54
1980-07-16,904.44
1980-07-17,915.10
1980-07-18,923.98
1980-07-21,928.67
1980-07-22,927.30
1980-07-23,928.58
1980-07-24,926.11
1980-07-25,918.09
1980-07-28,925.43
1980-07-29,931.91
1980-07-30,936.18
1980-07-31,935.32
1980-08-01,931.48
1980-08-04,931.06
1980-08-05,929.78
1980-08-06,938.23
1980-08-07,950.94
1980-08-08,954.69
1980-08-11,964.08
1980-08-12,952.39
1980-08-13,949.23
1980-08-14,962.63
1980-08-15,966.72
1980-08-18,948.63
1980-08-19,939.85
1980-08-20,945.31
1980-08-21,955.03
1980-08-22,958.19
1980-08-25,956.23
1980-08-26,953.41
1980-08-27,943.09
1980-08-28,930.38
1980-08-29,932.59
1980-09-02,940.78
1980-09-03,953.16
1980-09-04,948.81
1980-09-05,940.96
1980-09-08,928.58
1980-09-09,934.73
1980-09-10,938.48
1980-09-11,941.30
1980-09-12,936.52
1980-09-15,937.63
1980-09-16,945.90
1980-09-17,961.26
1980-09-18,956.48
1980-09-19,963.74
1980-09-22,974.57
1980-09-23,962.03
1980-09-24,964.76
1980-09-25,955.97
1980-09-26,940.10
1980-09-29,921.93
1980-09-30,932.42
1980-10-01,939.42
1980-10-02,942.24
1980-10-03,950.68
1980-10-06,965.70
1980-10-07,960.67
1980-10-08,963.99
1980-10-09,958.96
1980-10-10,950.68
1980-10-13,959.90
1980-10-14,962.20
1980-10-15,972.44
1980-10-16,958.70
1980-10-17,956.14
1980-10-20,960.84
1980-10-21,954.44
1980-10-22,955.12
1980-10-23,939.51
1980-10-24,943.60
1980-10-27,931.74
1980-10-28,932.59
1980-10-29,929.18
1980-10-30,917.75
1980-10-31,924.49
1980-11-03,937.20
1980-11-05,953.16
1980-11-06,935.41
1980-11-07,932.42
1980-11-10,933.79
1980-11-11,944.03
1980-11-12,964.93
1980-11-13,982.42
1980-11-14,986.35
1980-11-17,986.26
1980-11-18,997.95
1980-11-19,991.04
1980-11-20,"1,000.17"
1980-11-21,989.93
1980-11-24,978.75
1980-11-25,982.68
1980-11-26,989.68
1980-11-28,993.34
1980-12-01,969.45
1980-12-02,974.40
1980-12-03,972.27
1980-12-04,970.48
1980-12-05,956.23
1980-12-08,933.70
1980-12-09,934.04
1980-12-10,916.21
1980-12-11,908.45
1980-12-12,917.15
1980-12-15,911.60
1980-12-16,918.09
1980-12-17,928.50
1980-12-18,930.20
1980-12-19,937.20
1980-12-22,958.79
1980-12-23,958.28
1980-12-24,963.05
1980-12-26,966.38
1980-12-29,960.58
1980-12-30,962.03
1980-12-31,963.99
1981-01-02,972.78
1981-01-05,992.66
1981-01-06,"1,004.69"
1981-01-07,980.89
1981-01-08,965.70
1981-01-09,968.69
1981-01-12,968.77
1981-01-13,965.10
1981-01-14,966.47
1981-01-15,969.97
1981-01-16,973.29
1981-01-19,970.99
1981-01-20,950.68
1981-01-21,946.25
1981-01-22,940.44
1981-01-23,940.19
1981-01-26,938.91
1981-01-27,949.49
1981-01-28,942.58
