Date,Value
2013-05-17,"8,242.18"
2013-05-20,"8,319.88"
2013-05-21,"8,296.02"
2013-05-22,"8,326.08"
2013-05-23,"8,174.24"
2013-05-24,"8,187.22"
2013-05-27,"8,170.76"
2013-05-28,"8,363.00"
2013-05-29,"8,323.73"
2013-05-30,"8,294.90"
2013-05-31,"8,222.32"
2013-06-03,"8,203.48"
2013-06-04,"8,121.10"
2013-06-05,"8,069.69"
2013-06-06,"7,970.75"
2013-06-07,"7,844.13"
2013-06-13,"7,572.25"
2013-06-14,"7,586.83"
2013-06-17,"7,526.12"
2013-06-18,"7,574.04"
2013-06-19,"7,492.89"
2013-06-20,"7,250.71"
2013-06-21,"7,238.37"
2013-06-24,"6,768.49"
2013-06-25,"6,773.77"
2013-06-26,"6,715.93"
2013-06-27,"6,736.34"
2013-06-28,"6,933.82"
2013-07-01,"6,919.31"
2013-07-02,"6,895.42"
2013-07-03,"6,809.44"
2013-07-04,"6,869.84"
2013-07-05,"6,919.98"
2013-07-08,"6,783.32"
2013-07-09,"6,783.59"
2013-07-10,"6,957.83"
2013-07-11,"7,323.65"
2013-07-12,"7,117.36"
2013-07-15,"7,180.01"
2013-07-16,"7,192.29"
2013-07-17,"7,097.48"
2013-07-18,"6,953.52"
2013-07-19,"6,791.88"
2013-07-22,"6,783.32"
2013-07-23,"6,960.73"
2013-07-24,"6,860.58"
2013-07-25,"6,852.39"
2013-07-26,"6,816.02"
2013-07-29,"6,670.79"
2013-07-30,"6,745.57"
2013-07-31,"6,762.67"
2013-08-01,"6,898.25"
2013-08-02,"6,894.55"
2013-08-05,"6,962.04"
2013-08-06,"6,965.45"
2013-08-07,"6,941.35"
2013-08-08,"6,914.01"
2013-08-09,"6,932.69"
2013-08-12,"7,174.40"
2013-08-13,"7,221.13"
2013-08-14,"7,190.41"
2013-08-15,"7,134.96"
2013-08-16,"7,129.14"
2013-08-19,"7,201.55"
2013-08-20,"7,158.13"
2013-08-21,"7,123.65"
2013-08-22,"7,097.17"
2013-08-23,"7,022.07"
2013-08-26,"7,173.15"
2013-08-27,"7,172.66"
2013-08-28,"7,116.90"
2013-08-29,"7,097.87"
2013-08-30,"7,119.37"
2013-09-02,"7,107.75"
2013-09-03,"7,226.45"
2013-09-04,"7,217.66"
2013-09-05,"7,200.13"
2013-09-06,"7,254.61"
2013-09-09,"7,653.57"
2013-09-10,"7,763.83"
2013-09-11,"7,787.95"
2013-09-12,"7,938.46"
2013-09-13,"7,834.97"
2013-09-16,"7,786.10"
2013-09-17,"7,609.98"
2013-09-18,"7,613.08"
2013-09-23,"7,687.83"
2013-09-24,"7,512.90"
2013-09-25,"7,466.41"
2013-09-26,"7,327.18"
2013-09-27,"7,361.00"
2013-09-30,"7,374.41"
2013-10-08,"7,453.32"
2013-10-09,"7,484.67"
2013-10-10,"7,364.62"
2013-10-11,"7,495.25"
2013-10-14,"7,464.10"
2013-10-15,"7,425.08"
2013-10-16,"7,317.19"
2013-10-17,"7,287.60"
2013-10-18,"7,324.21"
2013-10-21,"7,416.76"
2013-10-22,"7,320.87"
2013-10-23,"7,316.98"
2013-10-24,"7,256.16"
2013-10-25,"7,224.05"
2013-10-28,"7,208.28"
2013-10-29,"7,342.44"
2013-10-30,"7,431.74"
2013-10-31,"7,351.95"
2013-11-01,"7,435.17"
2013-11-04,"7,386.06"
2013-11-05,"7,359.44"
2013-11-06,"7,258.50"
2013-11-07,"7,248.49"
2013-11-08,"7,163.23"
2013-11-11,"7,175.82"
2013-11-12,"7,277.47"
2013-11-13,"7,094.28"
2013-11-14,"7,097.52"
2013-11-15,"7,239.32"
2013-11-18,"7,553.47"
2013-11-19,"7,484.58"
2013-11-20,"7,511.67"
2013-11-21,"7,442.02"
2013-11-22,"7,424.74"
2013-11-25,"7,389.44"
2013-11-26,"7,372.98"
2013-11-27,"7,444.89"
2013-11-28,"7,509.44"
2013-11-29,"7,501.44"
2013-12-02,"7,583.34"
2013-12-03,"7,600.79"
2013-12-04,"7,673.53"
2013-12-05,"7,640.84"
