Date,Value
2013-05-17,"1,401.79"
2013-05-20,"1,406.86"
2013-05-21,"1,422.99"
2013-05-22,"1,448.42"
2013-05-23,"1,396.91"
2013-05-24,"1,380.88"
2013-05-27,"1,378.29"
2013-05-28,"1,397.72"
2013-05-29,"1,361.43"
2013-05-30,"1,361.26"
2013-05-31,"1,350.17"
2013-06-03,"1,337.40"
2013-06-04,"1,341.62"
2013-06-05,"1,326.78"
2013-06-06,"1,316.92"
2013-06-07,"1,343.90"
2013-06-10,"1,335.25"
2013-06-11,"1,301.31"
2013-06-13,"1,281.89"
2013-06-14,"1,299.61"
2013-06-17,"1,325.27"
2013-06-18,"1,335.14"
2013-06-19,"1,323.57"
2013-06-20,"1,297.01"
2013-06-21,"1,298.89"
2013-06-24,"1,290.26"
2013-06-25,"1,297.59"
2013-06-26,"1,320.39"
2013-06-27,"1,313.23"
2013-06-28,"1,330.46"
2013-07-01,"1,336.17"
2013-07-02,"1,337.92"
2013-07-03,"1,333.35"
2013-07-04,"1,349.21"
2013-07-05,"1,342.72"
2013-07-08,"1,348.88"
2013-07-09,"1,345.73"
2013-07-10,"1,333.71"
2013-07-11,"1,368.11"
2013-07-12,"1,398.22"
2013-07-15,"1,403.56"
2013-07-16,"1,410.10"
2013-07-17,"1,431.80"
2013-07-18,"1,416.63"
2013-07-19,"1,421.67"
2013-07-22,"1,415.52"
2013-07-23,"1,417.34"
2013-07-24,"1,407.41"
2013-07-25,"1,401.88"
2013-07-26,"1,403.14"
2013-07-29,"1,398.30"
2013-07-30,"1,387.31"
2013-07-31,"1,375.79"
2013-08-01,"1,398.46"
2013-08-02,"1,392.15"
2013-08-05,"1,391.75"
2013-08-06,"1,364.65"
2013-08-07,"1,362.91"
2013-08-08,"1,362.38"
2013-08-09,"1,382.72"
2013-08-12,"1,388.36"
2013-08-13,"1,407.86"
2013-08-14,"1,423.87"
2013-08-15,"1,391.37"
2013-08-16,"1,380.31"
2013-08-19,"1,382.32"
2013-08-20,"1,377.28"
2013-08-21,"1,376.60"
2013-08-22,"1,396.65"
2013-08-23,"1,393.21"
2013-08-26,"1,387.06"
2013-08-27,"1,374.21"
2013-08-28,"1,369.64"
2013-08-29,"1,371.89"
2013-08-30,"1,364.65"
2013-09-02,"1,367.53"
2013-09-03,"1,373.82"
2013-09-04,"1,375.66"
2013-09-05,"1,422.40"
2013-09-06,"1,423.40"
2013-09-09,"1,451.54"
2013-09-10,"1,453.57"
2013-09-11,"1,454.12"
2013-09-12,"1,450.23"
2013-09-13,"1,440.74"
2013-09-16,"1,470.48"
2013-09-17,"1,473.03"
2013-09-18,"1,464.95"
2013-09-19,"1,487.19"
2013-09-20,"1,476.73"
2013-09-23,"1,467.62"
2013-09-24,"1,464.72"
2013-09-25,"1,479.59"
2013-09-26,"1,485.14"
2013-09-27,"1,471.89"
2013-09-30,"1,462.82"
2013-10-01,"1,471.73"
2013-10-02,"1,454.29"
2013-10-03,"1,456.49"
2013-10-04,"1,474.21"
2013-10-07,"1,480.20"
2013-10-08,"1,505.14"
2013-10-09,"1,501.01"
2013-10-10,"1,516.73"
2013-10-11,"1,513.03"
2013-10-14,"1,510.20"
2013-10-15,"1,531.67"
2013-10-16,"1,531.57"
2013-10-17,"1,512.32"
2013-10-18,"1,533.35"
2013-10-21,"1,533.61"
2013-10-22,"1,528.76"
2013-10-23,"1,507.26"
2013-10-24,"1,502.46"
2013-10-25,"1,504.48"
2013-10-28,"1,511.51"
2013-10-29,"1,516.17"
2013-10-30,"1,516.00"
2013-10-31,"1,510.21"
2013-11-01,"1,515.15"
2013-11-05,"1,505.94"
2013-11-06,"1,499.95"
2013-11-07,"1,509.25"
2013-11-08,"1,489.55"
2013-11-11,"1,483.46"
2013-11-12,"1,500.41"
2013-11-13,"1,466.82"
2013-11-14,"1,490.89"
2013-11-15,"1,493.79"
2013-11-18,"1,510.61"
2013-11-19,"1,511.19"
2013-11-20,"1,508.52"
2013-11-21,"1,494.07"
2013-11-22,"1,504.10"
2013-11-25,"1,502.41"
2013-11-26,"1,484.37"
2013-11-27,"1,475.42"
2013-11-28,"1,479.46"
2013-11-29,"1,479.35"
2013-12-02,"1,473.26"
2013-12-03,"1,448.84"
2013-12-04,"1,439.26"
2013-12-05,"1,429.25"
2013-12-06,"1,448.67"
2013-12-09,"1,465.70"
2013-12-10,"1,464.14"
2013-12-11,"1,464.67"
2013-12-12,"1,449.74"
2013-12-13,"1,452.76"
2013-12-16,"1,470.22"
2013-12-17,"1,479.39"
2013-12-18,"1,486.91"
2013-12-19,"1,497.99"
2013-12-20,"1,497.23"
2013-12-23,"1,507.49"
2013-12-24,"1,506.41"
2013-12-25,"1,501.12"
2013-12-26,"1,501.47"
2013-12-27,"1,494.83"
2013-12-30,"1,504.08"
2014-01-06,"1,466.15"
2014-01-08,"1,462.67"
2014-01-09,"1,465.14"
2014-01-10,"1,469.19"
2014-01-13,"1,477.56"
2014-01-14,"1,469.64"
2014-01-15,"1,486.51"
2014-01-16,"1,480.73"
2014-01-17,"1,486.88"
2014-01-20,"1,495.36"
2014-01-21,"1,504.68"
2014-01-22,"1,498.73"
2014-01-23,"1,496.90"
2014-01-24,"1,494.58"
2014-01-27,"1,478.23"
2014-01-28,"1,469.57"
2014-01-29,"1,462.99"
2014-01-30,"1,463.20"
2014-01-31,"1,454.45"
2014-02-03,"1,442.84"
2014-02-04,"1,441.16"
2014-02-05,"1,456.00"
2014-02-06,"1,466.70"
2014-02-07,"1,478.48"
2014-02-10,"1,476.28"
2014-02-11,"1,483.57"
2014-02-12,"1,496.03"
